"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)","Total Generation (MWh)"
US48,"4/27/2019 7 a.m. EDT",54083,360,34819,6673,1862,87197,65374,87450,335687
US48,"4/27/2019 8 a.m. EDT",55645,1587,36418,6889,1917,92308,67418,87502,347233
US48,"4/27/2019 9 a.m. EDT",55632,3955,38661,6992,2091,97609,68729,87233,358241
US48,"4/27/2019 10 a.m. EDT",55656,10222,38587,7001,2420,101511,73129,87005,373363
US48,"4/27/2019 11 a.m. EDT",54731,17550,37633,7060,2445,103351,74036,86995,381982
US48,"4/27/2019 12 p.m. EDT",54937,21489,36812,7209,2434,105572,75517,87037,389216
US48,"4/27/2019 1 p.m. EDT",54559,22464,36398,7426,2438,109230,73905,87260,391972
US48,"4/27/2019 2 p.m. EDT",54474,23087,35671,7523,2448,114576,73252,87513,396544
US48,"4/27/2019 3 p.m. EDT",53139,22457,35918,7530,2533,120494,72338,87742,400303
US48,"4/27/2019 4 p.m. EDT",50744,22311,37700,7476,2544,126390,72759,87652,406067
US48,"4/27/2019 5 p.m. EDT",48346,21795,39378,7538,2614,132079,74416,87799,413043
US48,"4/27/2019 6 p.m. EDT",46379,19603,41726,8032,2722,135934,76838,88067,419049
US48,"4/27/2019 7 p.m. EDT",44322,16370,43483,8240,2901,140781,78390,88138,422696
US48,"4/27/2019 8 p.m. EDT",45260,12596,45702,8123,3120,140692,79181,88258,422974
US48,"4/27/2019 9 p.m. EDT",44275,8506,47611,7996,3232,139816,77858,88340,417859
US48,"4/27/2019 10 p.m. EDT",44603,2017,49927,7825,3422,137026,78036,88301,411725
US48,"4/27/2019 11 p.m. EDT",45435,1138,48221,7615,3180,128818,74030,88167,396608
US48,"4/28/2019 12 a.m. EDT",44370,421,45163,7537,3031,120785,73486,87885,382935
US48,"4/28/2019 1 a.m. EDT",44465,398,42048,7364,2551,109135,70674,87979,364456
US48,"4/28/2019 2 a.m. EDT",45012,396,38565,7023,2225,100479,66792,88047,347778
US48,"4/28/2019 3 a.m. EDT",45206,373,36063,6861,2096,94790,63312,88092,335213
US48,"4/28/2019 4 a.m. EDT",43669,211,34305,6633,2035,91100,60730,88261,325100
US48,"4/28/2019 5 a.m. EDT",43466,204,33934,6549,2037,89435,58854,88349,320369
US48,"4/28/2019 6 a.m. EDT",41468,213,33869,6471,2041,91841,58764,88250,320398
US48,"4/28/2019 7 a.m. EDT",38072,284,35026,6555,2073,94056,60564,88372,322528
US48,"4/28/2019 8 a.m. EDT",33631,964,36314,6754,2313,99679,67081,88390,332700
US48,"4/28/2019 9 a.m. EDT",32682,2524,38884,7237,2321,105036,70745,88415,345469
US48,"4/28/2019 10 a.m. EDT",31668,8575,40626,7626,2396,110120,76383,88355,363261
US48,"4/28/2019 11 a.m. EDT",32306,17114,39502,7823,2432,112405,77082,88367,374588
US48,"4/28/2019 12 p.m. EDT",35255,21318,38840,7989,2371,116496,74852,88339,383249
US48,"4/28/2019 1 p.m. EDT",38806,23150,38549,7862,2189,120699,74457,88242,391657
US48,"4/28/2019 2 p.m. EDT",41312,23210,38623,8001,2162,124038,74033,88212,397277
US48,"4/28/2019 3 p.m. EDT",44097,23272,39251,8087,2296,126908,75772,88151,405954
US48,"4/28/2019 4 p.m. EDT",48092,22769,39681,8219,2313,129790,77348,88120,413822
US48,"4/28/2019 5 p.m. EDT",51688,20767,41819,8338,2390,132342,80285,88121,423017
US48,"4/28/2019 6 p.m. EDT",54934,17565,44238,8546,2526,135274,82355,88081,431109
US48,"4/28/2019 7 p.m. EDT",56036,13389,46689,8500,2581,139008,83504,88169,435369
US48,"4/28/2019 8 p.m. EDT",56490,9463,49789,8521,2579,139595,83117,88178,435587
US48,"4/28/2019 9 p.m. EDT",56069,5200,51395,8379,2646,141540,84024,88192,435293
US48,"4/28/2019 10 p.m. EDT",55363,1703,50713,8248,2739,138937,84990,88108,428534
US48,"4/28/2019 11 p.m. EDT",55167,761,48335,8209,2485,130388,82605,88176,413529
US48,"4/29/2019 12 a.m. EDT",55980,409,44100,8064,2209,116618,75490,87973,389491
US48,"4/29/2019 1 a.m. EDT",52191,466,40579,7789,2022,108210,71513,88524,369834
US48,"4/29/2019 2 a.m. EDT",51616,414,37170,7346,1945,101081,66475,88606,352619
US48,"4/29/2019 3 a.m. EDT",50065,275,34572,7357,1983,97752,64732,88087,342349
US48,"4/29/2019 4 a.m. EDT",48326,216,33150,7267,1984,95089,63232,88197,335010
US48,"4/29/2019 5 a.m. EDT",47025,195,33058,7315,2033,97196,65277,88423,337751
US48,"4/29/2019 6 a.m. EDT",45747,158,34227,7545,2150,104883,70141,88642,350734
US48,"4/29/2019 7 a.m. EDT",45731,286,39293,7806,2350,116832,74979,88780,373393
US48,"4/29/2019 8 a.m. EDT",44543,1167,42537,8260,2591,127244,81177,88861,394618
US48,"4/29/2019 9 a.m. EDT",44938,3132,44675,8373,2669,130925,85018,88917,407683
US48,"4/29/2019 10 a.m. EDT",45344,7663,45164,7775,3304,134891,87276,88974,419369
US48,"4/29/2019 11 a.m. EDT",45573,12739,45042,7866,3457,136881,87895,88960,427565
US48,"4/29/2019 12 p.m. EDT",44561,16290,43323,8101,3697,140757,89885,88933,434583
US48,"4/29/2019 1 p.m. EDT",42669,18310,41712,8186,3909,145607,91122,88872,439743
US48,"4/29/2019 2 p.m. EDT",39894,18843,41676,8581,4093,151458,93509,88868,446252
US48,"4/29/2019 3 p.m. EDT",37455,19335,41835,8627,3989,159037,94042,88879,452571
US48,"4/29/2019 4 p.m. EDT",38097,17763,43021,9229,3410,163774,94026,88829,457539
US48,"4/29/2019 5 p.m. EDT",38557,15556,46191,9294,3529,168524,95424,88671,464970
US48,"4/29/2019 6 p.m. EDT",37036,13151,46671,9323,3649,172003,96407,88409,466112
US48,"4/29/2019 7 p.m. EDT",36287,10791,49562,9105,3622,174238,95294,88380,466995
US48,"4/29/2019 8 p.m. EDT",32881,8374,51795,9052,3628,173092,95022,88338,462002
US48,"4/29/2019 9 p.m. EDT",31623,5591,53171,9007,3539,173469,94778,88382,459547
US48,"4/29/2019 10 p.m. EDT",29566,1419,52400,8685,3604,170064,95191,88311,449334
US48,"4/29/2019 11 p.m. EDT",28325,254,48383,8476,3571,158694,93582,88308,430026
US48,"4/30/2019 12 a.m. EDT",30256,236,45379,7977,3173,141858,85544,88377,403008
US48,"4/30/2019 1 a.m. EDT",25606,155,41156,7790,2625,131759,84122,88428,381908
US48,"4/30/2019 2 a.m. EDT",25762,49,37022,7602,2491,122594,79287,88427,363896
US48,"4/30/2019 3 a.m. EDT",26288,57,35033,7436,2480,115947,74187,88473,350511
US48,"4/30/2019 4 a.m. EDT",25944,62,32440,7480,2483,111444,71843,88506,340661
US48,"4/30/2019 5 a.m. EDT",26281,69,32472,7460,2544,113614,72991,88509,344245
US48,"4/30/2019 6 a.m. EDT",26340,59,33253,7797,2618,119256,76710,88593,354894
US48,"4/30/2019 7 a.m. EDT",27233,151,35146,8264,2954,131648,81740,88686,376188
US48,"4/30/2019 8 a.m. EDT",27078,1002,38678,8586,3397,142090,87416,88798,397375
